date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;70;corroded;2;3;41,4;41,4;M3;
22/08/2023;70;corroded;2;4;43,7;43,7;M4;
22/08/2023;70;corroded;2;5;43,8;43,8;M5;
22/08/2023;70;corroded;3;1;45,3;45,3;M1;blurry picture
22/08/2023;70;corroded;3;2;44,4;44,4;M2;blurry picture
22/08/2023;70;corroded;3;3;45,3;45,3;M3;blurry picture
22/08/2023;70;corroded;3;4;45,2;45,2;M4;blurry picture
22/08/2023;70;corroded;3;5;42,8;42,8;M5;blurry picture
22/08/2023;70;non corroded;1;1;69,4;39,4;M1;harsh increase in temperature
22/08/2023;70;non corroded;1;2;69,5;39,5;M2;harsh increase in temperature
22/08/2023;70;non corroded;1;3;72;42;M3;harsh increase in temperature
22/08/2023;70;non corroded;1;4;71,6;41,6;M4;harsh increase in temperature
22/08/2023;70;non corroded;1;5;69,2;39,2;M5;harsh increase in temperature
22/08/2023;70;non corroded;2;1;44,5;44,5;M1;
22/08/2023;70;non corroded;2;2;45,5;45,5;M2;
22/08/2023;70;non corroded;2;3;49,8;49,8;M3;
22/08/2023;70;non corroded;2;4;49,5;49,5;M4;
22/08/2023;70;non corroded;2;5;47;47;M5;
22/08/2023;70;non corroded;3;1;48,8;48,8;M1;blurry picture
22/08/2023;70;non corroded;3;2;48,9;48,9;M2;blurry picture
22/08/2023;70;non corroded;3;3;48;48;M3;blurry picture
22/08/2023;70;non corroded;3;4;50,5;50,5;M4;blurry picture
22/08/2023;70;non corroded;3;5;49;49;M5;blurry picture
22/08/2023;75;corroded;1;1;46,2;46,2;M1;blurry picture
22/08/2023;75;corroded;1;2;43,3;43,3;M2;blurry picture
22/08/2023;75;corroded;1;3;44;44;M3;blurry picture
22/08/2023;75;corroded;1;4;44;44;M4;blurry picture
22/08/2023;75;corroded;1;5;45,5;45,5;M5;blurry picture
22/08/2023;75;corroded;2;1;45,4;45,4;M1;blurry picture
22/08/2023;75;corroded;2;2;41,4;41,4;M2;blurry picture
22/08/2023;75;corroded;2;3;45,5;45,5;M3;blurry picture
22/08/2023;75;corroded;2;4;45,1;45,1;M4;blurry picture
22/08/2023;75;corroded;2;5;44,7;44,7;M5;blurry picture
22/08/2023;75;non corroded;1;1;50,2;50,2;M1;blurry picture
22/08/2023;75;non corroded;1;2;47,1;47,1;M2;blurry picture
22/08/2023;75;non corroded;1;3;48,8;48,8;M3;blurry picture
22/08/2023;75;non corroded;1;4;48,5;48,5;M4;blurry picture
22/08/2023;75;non corroded;1;5;49;49;M5;blurry picture
22/08/2023;75;non corroded;2;1;49;49;M1;blurry picture
22/08/2023;75;non corroded;2;2;48,9;48,9;M2;blurry picture
22/08/2023;75;non corroded;2;3;47,9;47,9;M3;blurry picture
22/08/2023;75;non corroded;2;4;48,8;48,8;M4;blurry picture
22/08/2023;75;non corroded;2;5;50,2;50,2;M5;blurry picture
22/08/2023;75;non corroded;3;1;48,8;48,8;M1;blurry picture
22/08/2023;75;non corroded;3;2;50,9;50,9;M2;blurry picture
22/08/2023;75;non corroded;3;3;51,5;51,5;M3;blurry picture
22/08/2023;75;non corroded;3;4;48,3;48,3;M4;blurry picture
22/08/2023;75;non corroded;3;5;48,3;48,3;M5;blurry picture
22/08/2023;80;corroded;1;1;71,4;41,4;M1;harsh increase in temperature
22/08/2023;80;corroded;1;2;72,7;42,7;M2;harsh increase in temperature
22/08/2023;80;corroded;1;3;72,1;42,1;M3;harsh increase in temperature
22/08/2023;80;corroded;1;4;73,8;43,8;M4;harsh increase in temperature
22/08/2023;80;corroded;1;5;73,3;43,3;M5;harsh increase in temperature
22/08/2023;80;corroded;2;1;71;41;M1;harsh increase in temperature
22/08/2023;80;corroded;2;2;70,1;40,1;M2;harsh increase in temperature
22/08/2023;80;corroded;2;3;70,3;40,3;M3;harsh increase in temperature
22/08/2023;80;corroded;2;4;71,5;41,5;M4;harsh increase in temperature
22/08/2023;80;corroded;2;5;72,7;42,7;M5;harsh increase in temperature
22/08/2023;80;corroded;3;1;48,3;48,3;M1;blurry picture
22/08/2023;80;corroded;3;2;47,3;47,3;M2;blurry picture
22/08/2023;80;corroded;3;3;48,5;48,5;M3;blurry picture
22/08/2023;80;corroded;3;4;47;47;M4;blurry picture
22/08/2023;80;corroded;3;5;47,4;47,4;M5;blurry picture
22/08/2023;80;non corroded;1;1;77,3;47,3;M1;harsh increase in temperature
22/08/2023;80;non corroded;1;2;76,6;46,6;M2;harsh increase in temperature
22/08/2023;80;non corroded;1;3;77;47;M3;harsh increase in temperature
22/08/2023;80;non corroded;1;4;75,1;45,1;M4;harsh increase in temperature
22/08/2023;80;non corroded;1;5;75,9;45,9;M5;harsh increase in temperature
22/08/2023;80;non corroded;2;1;76,6;46,6;M1;harsh increase in temperature
22/08/2023;80;non corroded;2;2;74,9;44,9;M2;harsh increase in temperature
22/08/2023;80;non corroded;2;3;77,1;47,1;M3;harsh increase in temperature
22/08/2023;80;non corroded;2;4;76,9;46,9;M4;harsh increase in temperature
22/08/2023;80;non corroded;2;5;75,4;45,4;M5;harsh increase in temperature
22/08/2023;80;non corroded;3;1;77,1;47,1;M1;harsh increase in temperature
